"","table"
"1992-01-16",0
"1992-02-15",-0.449967384338379
"1992-03-16",-1.02327156066895
"1992-04-16",-1.14954280853271
"1992-05-16",-1.30361747741699
"1992-06-16",-1.36617660522461
"1992-07-16",-1.47317600250244
"1992-08-16",-1.71578598022461
"1992-09-16",-1.85195541381836
"1992-10-16",-2.0654411315918
"1992-11-16",-2.3388614654541
"1992-12-16",-2.48540592193604
"1993-01-16",-1.72546195983887
"1993-02-15",-1.70065689086914
"1993-03-16",-1.6497688293457
"1993-04-16",-1.67711925506592
"1993-05-16",-1.729736328125
"1993-06-16",-1.74986934661865
"1993-07-16",-1.89606761932373
"1993-08-16",-1.91662502288818
"1993-09-16",-1.64419937133789
"1993-10-16",-1.68843650817871
"1993-11-16",-1.55925559997559
"1993-12-16",-1.54369926452637
"1994-01-16",-0.718500137329102
"1994-02-15",-0.704071998596191
"1994-03-16",-0.597612380981445
"1994-04-16",-0.561783790588379
"1994-05-16",-0.528392791748047
"1994-06-16",-0.583804130554199
"1994-07-16",-0.583812713623047
"1994-08-16",-0.49830150604248
"1994-09-16",-0.478134155273438
"1994-10-16",-0.247283935546875
"1994-11-16",-0.276515007019043
"1994-12-16",-0.295315742492676
"1995-01-16",0.379772186279297
"1995-02-15",0.344395637512207
"1995-03-16",0.320573806762695
"1995-04-16",0.243647575378418
"1995-05-16",0.193105697631836
"1995-06-16",0.231772422790527
"1995-07-16",0.431680679321289
"1995-08-16",0.336644172668457
"1995-09-16",0.233678817749023
"1995-10-16",0.242708206176758
"1995-11-16",0.269508361816406
"1995-12-16",0.487286567687988
"1996-01-16",1.26060438156128
"1996-02-15",1.35619926452637
"1996-03-16",1.33191680908203
"1996-04-16",1.45167922973633
"1996-05-16",1.54063987731934
"1996-06-16",1.53987741470337
"1996-07-16",1.53110647201538
"1996-08-16",1.47204208374023
"1996-09-16",1.50327682495117
"1996-10-16",1.44151544570923
"1996-11-16",1.3915319442749
"1996-12-16",1.51200294494629
"1997-01-16",2.45710611343384
"1997-02-15",2.6004319190979
"1997-03-16",2.65408706665039
"1997-04-16",2.79621601104736
"1997-05-16",2.82753086090088
"1997-06-16",2.92615032196045
"1997-07-16",2.87010908126831
"1997-08-16",2.90350914001465
"1997-09-16",3.0901575088501
"1997-10-16",3.13700199127197
"1997-11-16",3.26964092254639
"1997-12-16",3.38780641555786
"1998-01-16",3.95198440551758
"1998-02-15",3.75335359573364
"1998-03-16",3.66127967834473
"1998-04-16",3.34892654418945
"1998-05-16",3.42612791061401
"1998-06-16",3.56994152069092
"1998-07-16",3.64141368865967
"1998-08-16",3.67389106750488
"1998-09-16",3.55824375152588
"1998-10-16",3.43699216842651
"1998-11-16",3.5191330909729
"1998-12-16",3.36659288406372
"1999-01-16",4.0813422203064
"1999-02-15",4.07432699203491
"1999-03-16",4.21814060211182
"1999-04-16",4.22514677047729
"1999-05-16",4.23386478424072
"1999-06-16",4.27299308776855
"1999-07-16",4.20150279998779
"1999-08-16",4.12952518463135
"1999-09-16",4.06737422943115
"1999-10-16",4.09392690658569
"1999-11-16",4.16845846176147
"1999-12-16",4.12821245193481
"2000-01-16",5.02350950241089
"2000-02-15",4.93694305419922
"2000-03-16",4.93779420852661
"2000-04-16",5.02412128448486
"2000-05-16",5.09993934631348
"2000-06-16",5.08926153182983
"2000-07-16",5.21261501312256
"2000-08-16",5.40004539489746
"2000-09-16",5.46356201171875
"2000-10-16",5.4525294303894
"2000-11-16",5.49731588363647
"2000-12-16",5.52578449249268
"2001-01-16",6.27881050109863
"2001-02-15",6.2388219833374
"2001-03-16",6.48086452484131
"2001-04-16",6.61722850799561
"2001-05-16",6.77767086029053
"2001-06-16",7.0247859954834
"2001-07-16",7.12300634384155
"2001-08-16",7.10636901855469
"2001-09-16",7.32691383361816
"2001-10-16",7.34954643249512
"2001-11-16",7.32930850982666
"2001-12-16",7.31304311752319
"2002-01-16",7.99620246887207
"2002-02-15",7.90087366104126
"2002-03-16",7.89964962005615
"2002-04-16",7.8204174041748
"2002-05-16",7.70761728286743
"2002-06-16",7.55974197387695
"2002-07-16",7.38794755935669
"2002-08-16",7.28968334197998
"2002-09-16",7.25704669952393
"2002-10-16",7.53631973266602
"2002-11-16",7.5532054901123
"2002-12-16",7.64646816253662
"2003-01-16",8.32709121704102
"2003-02-15",8.3140811920166
"2003-03-16",8.38687419891357
"2003-04-16",8.39065265655518
"2003-05-16",8.45955276489258
"2003-06-16",8.59160614013672
"2003-07-16",8.52980136871338
"2003-08-16",8.55766677856445
"2003-09-16",8.53425312042236
"2003-10-16",8.52299022674561
"2003-11-16",8.53341960906982
"2003-12-16",8.54251861572266
"2004-01-16",9.28770542144775
"2004-02-15",9.42595863342285
"2004-03-16",9.37861728668213
"2004-04-16",9.5207462310791
"2004-05-16",9.49625968933105
"2004-06-16",9.39104270935059
"2004-07-16",9.46528148651123
"2004-08-16",9.43550109863281
"2004-09-16",9.43606853485107
"2004-10-16",9.45455074310303
"2004-11-16",9.57404613494873
"2004-12-16",9.65554904937744
"2005-01-16",10.2644605636597
"2005-02-15",10.2159404754639
"2005-03-16",10.211256980896
"2005-04-16",10.0361022949219
"2005-05-16",10.0844802856445
"2005-06-16",10.015926361084
"2005-07-16",9.97003078460693
"2005-08-16",9.90566253662109
"2005-09-16",9.64428615570068
"2005-10-16",9.56430912017822
"2005-11-16",9.48619365692139
"2005-12-16",9.54048728942871
"2006-01-16",10.3329439163208
"2006-02-15",10.3660507202148
"2006-03-16",10.5456047058105
"2006-04-16",10.6510705947876
"2006-05-16",10.7723140716553
"2006-06-16",10.6336612701416
"2006-07-16",10.4660177230835
"2006-08-16",10.489501953125
"2006-09-16",10.4573268890381
"2006-10-16",10.343222618103
"2006-11-16",10.4615650177002
"2006-12-16",10.442533493042
"2007-01-16",10.8821954727173
"2007-02-15",10.9464311599731
"2007-03-16",10.9094667434692
"2007-04-16",10.8841915130615
"2007-05-16",10.8511734008789
"2007-06-16",10.8019876480103
"2007-07-16",10.7268085479736
"2007-08-16",10.5616750717163
"2007-09-16",10.4635524749756
"2007-10-16",10.3653583526611
"2007-11-16",10.3744049072266
"2007-12-16",10.21217918396
"2008-01-16",10.9105577468872
"2008-02-15",11.0303640365601
"2008-03-16",11.0976228713989
"2008-04-16",11.1525907516479
"2008-05-16",11.1723766326904
"2008-06-16",11.077766418457
"2008-07-16",11.1169567108154
"2008-08-16",11.1671886444092
"2008-09-16",11.1864337921143
"2008-10-16",11.2270526885986
"2008-11-16",11.2026634216309
"2008-12-16",11.1511192321777
"2009-01-16",11.9507236480713
"2009-02-15",11.9423246383667
"2009-03-16",12.1696100234985
"2009-04-16",12.3094329833984
"2009-05-16",12.3935518264771
"2009-06-16",12.5968561172485
"2009-07-16",12.5606451034546
"2009-08-16",12.5218715667725
"2009-09-16",12.4698657989502
"2009-10-16",12.5097923278809
"2009-11-16",12.3440551757812
"2009-12-16",12.2789068222046
"2010-01-16",12.8038845062256
"2010-02-15",12.6421480178833
"2010-03-16",12.5200977325439
"2010-04-16",12.4791431427002
"2010-05-16",12.4006996154785
"2010-06-16",12.4229955673218
"2010-07-16",12.3353643417358
"2010-08-16",12.2541637420654
"2010-09-16",12.2093057632446
"2010-10-16",12.257303237915
"2010-11-16",12.1501340866089
"2010-12-16",12.1002044677734
"2011-01-16",12.8783645629883
"2011-02-15",13.0292987823486
"2011-03-16",13.053900718689
"2011-04-16",12.9832000732422
"2011-05-16",12.989842414856
"2011-06-16",12.933970451355
"2011-07-16",12.8355016708374
"2011-08-16",12.8368501663208
"2011-09-16",12.8526363372803
"2011-10-16",12.9746503829956
"2011-11-16",13.0450325012207
"2011-12-16",12.8359985351562
"2012-01-16",13.7663440704346
"2012-02-15",14.0821475982666
"2012-03-16",14.1088237762451
"2012-04-16",13.9749431610107
"2012-05-16",13.9988794326782
"2012-06-16",13.9483108520508
"2012-07-16",14.0589818954468
"2012-08-16",14.2012176513672
"2012-09-16",14.1900253295898
"2012-10-16",14.1838350296021
"2012-11-16",14.1765098571777
"2012-12-16",14.3073568344116
"2013-01-16",14.9070453643799
"2013-02-15",15.0429916381836
"2013-03-16",15.074049949646
"2013-04-16",15.1834354400635
"2013-05-16",15.1882343292236
"2013-06-16",15.0597267150879
"2013-07-16",15.2351922988892
"2013-08-16",15.3974885940552
"2013-09-16",15.4116611480713
"2013-10-16",15.3879461288452
"2013-11-16",15.3656330108643
"2013-12-16",15.3911037445068
"2014-01-16",16.0645790100098
"2014-02-15",16.0455722808838
"2014-03-16",15.9149913787842
"2014-04-16",15.9469003677368
"2014-05-16",15.9274864196777
"2014-06-16",15.9145030975342
"2014-07-16",15.9239482879639
"2014-08-16",16.1003093719482
"2014-09-16",16.2583656311035
"2014-10-16",16.2814598083496
"2014-11-16",16.263988494873
"2014-12-16",16.2301998138428
"2015-01-16",17.0325698852539
"2015-02-15",17.1403865814209
"2015-03-16",17.0593795776367
"2015-04-16",17.1145782470703
"2015-05-16",16.924072265625
"2015-06-16",16.8767318725586
"2015-07-16",16.9546585083008
"2015-08-16",17.0514698028564
"2015-09-16",17.2371978759766
"2015-10-16",17.249683380127
"2015-11-16",17.2409744262695
"2015-12-16",17.1792850494385
"2016-01-16",17.8908061981201
"2016-02-15",17.6504402160645
"2016-03-16",17.4119453430176
"2016-04-16",17.2955875396729
"2016-05-16",17.2893180847168
"2016-06-16",17.452730178833
"2016-07-16",17.650562286377
"2016-08-16",17.7872657775879
"2016-09-16",17.7520904541016
"2016-10-16",17.8023948669434
"2016-11-16",17.6737823486328
"2016-12-16",17.8256130218506
"2017-01-16",18.6692581176758
"2017-02-15",18.7291126251221
"2017-03-16",18.8779983520508
"2017-04-16",18.8923835754395
"2017-05-16",18.7609062194824
"2017-06-16",18.7214050292969
"2017-07-16",18.6778163909912
"2017-08-16",18.5050735473633
"2017-09-16",18.3248634338379
"2017-10-16",18.1399688720703
"2017-11-16",18.2380218505859
"2017-12-16",18.2180671691895
